"the_geom","id","piece","_column","occurrence","traduction_anglaise","type","zone_geographique","continent","lat","lng","cartodb_id","remarque","auteur","titre","genre","representation","decennie","publication","decennie2","column2","column3","column4"
"0101000020E61000004030478FDF1B2840E960FD9FC37C4640","http://www.geonames.org/3170550","CORNEILLEP_ILLUSIONCOMIQUE","1","Pô","Po","Fleuve","Italie","Europe","44.97472","12.05444","43","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E6100000287E8CB96BA91740DC2E34D769FC4940","http://www.geonames.org/2748179","CORNEILLEP_ILLUSIONCOMIQUE","1","Rhin","Rhine","Fleuve","Allemagne","Europe","51.97198","5.91545","44","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E61000004A0C022B87561340179F02603CDB4940","http://www.geonames.org/2751306","CORNEILLEP_ILLUSIONCOMIQUE","1","Meuse","Meuse","Fleuve","France","Europe","51.71278","4.8345","45","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E6100000C9022670EB6ED83FDB6D179AEBB84840","http://www.geonames.org/2975252","CORNEILLEP_ILLUSIONCOMIQUE","1","Seine","Seine","Fleuve","France","Europe","49.44469","0.38177","46","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E610000057957D57048F22C0D881734694564340","http://www.geonames.org/2262787","CORNEILLEP_ILLUSIONCOMIQUE","1","Tage","Tagus","Fleuve","Péninsule Ibérique","Europe","38.6764","-9.27933","47","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E6100000983446EBA8AA06C0B79C4B7155154840","http://www.geonames.org/3030293","CORNEILLEP_ILLUSIONCOMIQUE","2","Bretagne","Brittany","Région","France","Europe","48.16667","-2.83333","48","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E610000027C286A757CA0240280AF4893C6D4840","http://www.geonames.org/2988507","CORNEILLEP_ILLUSIONCOMIQUE","4","Paris","Paris","Ville","France","Europe","48.85341","2.3488","49","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E61000005DDC460378EB19C08CDB68006FA54440","http://www.geonames.org/3107914","CORNEILLEP_ILLUSIONCOMIQUE","1","Tormes","Tormes","Fleuve","Péninsule Ibérique","Europe","41.29245","-6.47995","50","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E6100000FA7E6ABC7493E2BF0820B589936B4640","http://www.geonames.org/3031582","CORNEILLEP_ILLUSIONCOMIQUE","1","Bordeaux","Bordeaux","Ville","France","Europe","44.84044","-0.5805","51","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E61000000000000000804A400000000000004040","http://www.geonames.org/130758","CORNEILLEP_ILLUSIONCOMIQUE","2","Perse","Persia","Pays","Orient","Asie","32","53","52","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E61000000000000000C043400000000000002240","http://www.geonames.org/337996","CORNEILLEP_ILLUSIONCOMIQUE","1","Éthiopie","Ethiopia","Pays","Afrique","Afrique","9","39.5","53","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E61000003A1E33501978614048FE60E0B9D74140","http://www.geonames.org/1861060","CORNEILLEP_ILLUSIONCOMIQUE","1","Japon","Japan","Pays","Extrême-Orient","Asie","35.68536","139.75309","54","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E610000000000000008059C00000000000003740","http://www.geonames.org/3996063","CORNEILLEP_ILLUSIONCOMIQUE","1","Mexique","Mexico","Pays","Amérique","Amérique","23","-102","55","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"NaN","http://www.geonames.org/664661","CORNEILLEP_ILLUSIONCOMIQUE","1","Transylvanie","Transylvania","Région","Transylvanie","Europe","46.5","25","56","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E6100000B9533A58FF4722400D6C956071584840","http://www.geonames.org/6255148","CORNEILLEP_ILLUSIONCOMIQUE","1","Europe","Europa","Continent","","Europe","48.69096","9.14062","57","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E61000000000000000405A400000000000804140","http://www.geonames.org/1814991","CORNEILLEP_ILLUSIONCOMIQUE","1","Chine","China","Pays","Extrême-Orient","Asie","35","105","58","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E61000000000000000003E400000000000003B40","http://www.geonames.org/357994","CORNEILLEP_ILLUSIONCOMIQUE","1","Égypte","Egypt","Pays","Afrique","Afrique","27","30","59","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E6100000D5CA845FEA3F3F409CBF098508103E40","http://www.geonames.org/360630","CORNEILLEP_ILLUSIONCOMIQUE","1","Caire","Cairo","Ville","Afrique","Afrique","30.06263","31.24967","60","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E610000000000000000032C00000000000405040","http://www.geonames.org/2629691","CORNEILLEP_ILLUSIONCOMIQUE","1","Islande","Iceland","Pays","Islande","Europe","65","-18","61","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E610000026512FF8349F36401F11532289444340","https://pleiades.stoa.org/places/541012","CORNEILLEP_ILLUSIONCOMIQUE","1","Parnasse","Mount Parnassus","Montagne","Grèce","Europe","38.535435","22.621902","62","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E61000006CD12C0F65E63640E46592B7F1F24240","https://pleiades.stoa.org/places/570182","CORNEILLEP_MEDEE","9","Corinthe","Corinth","Ville","Grèce","Europe","37.8980016198","22.8999795422","63","","Corneille, Pierre","Médée","Tragédie","1635","30","1639","30","http://dramacode.github.io/tcp5/corneillep_medee.xml","https://catalogue.bnf.fr/ark:/12148/cb30271709f","https://gallica.bnf.fr/ark:/12148/bpt6k71339h"
"0101000020E610000000000000004039404529215855F54340","https://pleiades.stoa.org/places/550693","CORNEILLEP_MEDEE","2","Lemnos","Lemnos","Île","Grèce","Europe","39.916667","25.25","64","","Corneille, Pierre","Médée","Tragédie","1635","30","1639","30","http://dramacode.github.io/tcp5/corneillep_medee.xml","https://catalogue.bnf.fr/ark:/12148/cb30271709f","https://gallica.bnf.fr/ark:/12148/bpt6k71339h"
"0101000020E6100000EAB69FE7AA1B45408C2E6F0ED70F4540","https://pleiades.stoa.org/places/857276","CORNEILLEP_MEDEE","2","Phase","Rioni","Fleuve","Grèce","Europe","42.1237505","42.2161531","65","","Corneille, Pierre","Médée","Tragédie","1635","30","1639","30","http://dramacode.github.io/tcp5/corneillep_medee.xml","https://catalogue.bnf.fr/ark:/12148/cb30271709f","https://gallica.bnf.fr/ark:/12148/bpt6k71339h"
"0101000020E610000000000000008036400000000000C04240","https://pleiades.stoa.org/places/991374","CORNEILLEP_MEDEE","6","Thessalie","Thessalia/Thessaly","Région","Grèce","Europe","37.5","22.5","66","","Corneille, Pierre","Médée","Tragédie","1635","30","1639","30","http://dramacode.github.io/tcp5/corneillep_medee.xml","https://catalogue.bnf.fr/ark:/12148/cb30271709f","https://gallica.bnf.fr/ark:/12148/bpt6k71339h"
"0101000020E610000089B5F814005356409EB5DB2E34D73D40","http://www.geonames.org/6255147","CORNEILLEP_MEDEE","1","Asie","Asia","Continent","","Asie","29.84064","89.29688","67","","Corneille, Pierre","Médée","Tragédie","1635","30","1639","30","http://dramacode.github.io/tcp5/corneillep_medee.xml","https://catalogue.bnf.fr/ark:/12148/cb30271709f","https://gallica.bnf.fr/ark:/12148/bpt6k71339h"
"0101000020E61000007197EE4647B937403403805685FC4240","https://pleiades.stoa.org/places/579885","CORNEILLEP_MEDEE","4","Athènes","Athens","Ville","Grèce","Europe","37.9728191495","23.7237438519","68","","Corneille, Pierre","Médée","Tragédie","1635","30","1639","30","http://dramacode.github.io/tcp5/corneillep_medee.xml","https://catalogue.bnf.fr/ark:/12148/cb30271709f","https://gallica.bnf.fr/ark:/12148/bpt6k71339h"
"0101000020E6100000E8908AB5AE7B3440FE1076E50E9E4340","https://pleiades.stoa.org/places/530769","CORNEILLEP_MEDEE","1","Achéron","Acheron","Fleuve","Grèce","Europe","39.2348296","20.4831346","69","","Corneille, Pierre","Médée","Tragédie","1635","30","1639","30","http://dramacode.github.io/tcp5/corneillep_medee.xml","https://catalogue.bnf.fr/ark:/12148/cb30271709f","https://gallica.bnf.fr/ark:/12148/bpt6k71339h"
"NaN","http://www.geonames.org/390903","CORNEILLEP_MEDEE","3","Grèce","Greece","Pays","Grèce","Europe","39","22","70","","Corneille, Pierre","Médée","Tragédie","1635","30","1639","30","http://dramacode.github.io/tcp5/corneillep_medee.xml","https://catalogue.bnf.fr/ark:/12148/cb30271709f","https://gallica.bnf.fr/ark:/12148/bpt6k71339h"
"0101000020E61000000000000000803B400000000000404540","https://pleiades.stoa.org/places/991379","CORNEILLEP_MEDEE","2","Scythie","Scythie","Région","Orient","Asie","42.5","27.5","71","Iraniens mais pas en Iran","Corneille, Pierre","Médée","Tragédie","1635","30","1639","30","http://dramacode.github.io/tcp5/corneillep_medee.xml","https://catalogue.bnf.fr/ark:/12148/cb30271709f","https://gallica.bnf.fr/ark:/12148/bpt6k71339h"
"0101000020E61000000000000000001E400000000000404040","https://pleiades.stoa.org/places/775","CORNEILLEP_MEDEE","1","Afrique","Africa","Continent","","Afrique","32.5","7.5","72","","Corneille, Pierre","Médée","Tragédie","1635","30","1639","30","http://dramacode.github.io/tcp5/corneillep_medee.xml","https://catalogue.bnf.fr/ark:/12148/cb30271709f","https://gallica.bnf.fr/ark:/12148/bpt6k71339h"
